Id,Name,Pueblo,Room Type,Availability 365,Price
26136688,Quiet room off of 14treet in !,Guaynabo,Private room,0,462
26138340," House Close to Metro, Catholic Univ. and ",Rincon,Private room,0,600
26156490,Book Filled Urban Hideaway,Isabela,Entire home/apt,69,920
26190956,Classic  Row House in exciting area,Guaynabo,Private room,0,672
26192482,"Spacious, sunlit Studio in the heart of nice",Rio Grande,Entire home/apt,147,1500
26193712,Logement saisonnier/ Correct seasonal housing,Rio Grande,Private room,363,240
26201810,Modern  Home Minutes from Metro,Caguas,Entire home/apt,158,728
26231715,"Cozy, Whimsical, Airy Upstairs Apartment",Guaynabo,Entire home/apt,17,550
26296408,Meridian guest suite,Humacao,Private room,0,1238
26303427,Just like home,Guaynabo,Entire home/apt,0,385
26305111,Glam!,Ponce,Entire home/apt,53,2250
26335586,Monthly rate condo in historic Mount Pleasant,Guaynabo,Entire home/apt,0,2000
26337047,"Welcome to Bloomingdale's  ""Chez Francoise""",Fajardo,Entire home/apt,147,1150
26356627,Homey Basement Flat in the Heart of Little Rome,Loiza,Entire home/apt,115,700
26363339,Waterfront Luxury / STEPS To Waterfront,Ponce,Entire home/apt,0,260
26366926,Best location  Student Housing 2,Bayamon,Shared room,364,550
26370669,(Female only) STUDIO APARTMENT Shared space,Humacao,Shared room,0,675
26388411,Brand New Luxury Boutique Apartment,Guaynabo,Entire home/apt,0,935
26397823,Garden of Eden: Room with Private Bath by Park,Cayey,Private room,323,320
26405153,Lrg 1 Bed English Bsmt Aprt in Row Home Near Metro,Bayamon,Private room,336,638
26413555,Studio steps away from,Cabo Rojo,Entire home/apt,8,450
26421326,"Puertorican townhouse, , , 14th, ",Mayaguez,Private room,0,215
26427409,Basement Apartment,Utuado,Entire home/apt,0,350
26445685,Townhome - Walk to Convention Center & Museums!,Dorado,Entire home/apt,2,700
26448435,Warm smiles @ Shirley's Place,Toa alta,Private room,0,920
26452635,Serene Flat at nice,Dorado,Entire home/apt,196,500
26467861,"Location, Privacy and Elegance 
 - perfect Area",Fajardo,Private room,0,675
26470539,Enjoy  like a local. Bed/bath + 2 full size beds,Isabela,Private room,0,1601
26473487,Private Room in Historic  East Townhouse,Fajardo,Private room,0,1150
26534528,Cozy Regal Residence near everything in !,Aguadilla,Entire home/apt,0,850
26561401,View great area,Trujillo Alto,Private room,0,1050
26566778,1 bed/1bath apt in the heart of /Bloomingdale,Isabela,Entire home/apt,35,1200
26571232,Unique Space in the heart of,Mayaguez,Entire home/apt,0,604
26573028,Sun Filled Studio with King Bed; Walk to Metro,San Lorenzo,Entire home/apt,263,1150
26579917,Lofty  Sanctuary at   on Swann St.,Mayaguez,Entire home/apt,126,1200
26596893,Row House Steps from,Rio Grande,Entire home/apt,0,1020
26605048,"Exquisite, Modern Studio in Historic !",Ponce,Entire home/apt,5,630
26608820,Newly-renovated 3-level modern~ Metro!,Ponce,Private room,0,650
26657704,Old Listing,Mayaguez,Entire home/apt,0,850
26666485,Island Metro-6 block 12 minute walk,Cidra,Private room,0,750
26667228,Perfect Place with a perfect Location,Vega Baja,Entire home/apt,0,280
26667868,It was all a Dream - 1 BR 1 BA in the heart of,Dorado,Entire home/apt,0,1385
26667912,"Central, sunny & spacious, 2 minutes from metro",San Lorenzo,Entire home/apt,0,365
26668219,/Oceanview House near metro 4br/2.5ba,Bayamon,Entire home/apt,0,2500
26669187,NEW! Brookland Gem 5 Min to Metro,Loiza,Entire home/apt,122,900
26672231,Take it Easy on the Spacious Deck in Tranquil Langdon,Cidra,Entire home/apt,0,600
26672828,*Luxe Lower Lvl Suite * Free WiFi * business ready,Cidra,Entire home/apt,0,590
26686977,"Cozy apartment, close to everything 2",Rio Grande,Entire home/apt,78,1150
26700381,Furnished Studio Apartment - Heart of,Mayaguez,Entire home/apt,0,450
26708700,Sun Drenched Charming Guesthouse by the Aquatic Gardens,Cayey,Entire home/apt,73,2600
26751053,Pleasant Condo Tucked Away in Residential Area,Guaynabo,Entire home/apt,0,675
26772360,"Colorful 1912 home perfect location, 4BR 2+BA",Mayaguez,Entire home/apt,130,900
26786454,Elegant English Apartment,Ponce,Entire home/apt,208,750
26804150,1 BR Platinum Suite/Walk to grocery store grocery store,Mayaguez,Private room,359,430
5.7e+17,CONFORTABLE BEDROOM 10 IN THE LUXURY HOUSE,Utuado,Private room,347,1100
26805068,2BR Platinum Suite/Walk to grocery store grocery store,Mayaguez,Hotel room,320,600
26812495,Well Appointed 2br/2.5 Ba Mt. Pleasant Home With Parking!,Guaynabo,Entire home/apt,324,2600
26819224,Oceanview Apartment Home,Aguas Buenas,Entire home/apt,0,2335
26832387,"Nice, bright room steps",Bayamon,Private room,0,575
26868484,"Boutique Lodge. For Business,vacation and disabled",Guaynabo,Entire home/apt,82,467
26868703,Homey 2-BR In Lovely Residential But Conveniently Located Neighborhood,Isabela,Entire home/apt,13,1400
26872090,Best Location on -Steps to Metro !,Bayamon,Entire home/apt,26,1200
26895761,Historic Garden-Level Apartment in Eastern Market,Bayamon,Entire home/apt,93,965
26919943,THIS IS NO LONGER AN ACTIVE LISTING. NO BOOKING,Fajardo,Entire home/apt,89,1680
26940356,hotspot  Row House,Bayamon,Entire home/apt,0,700
26950500,#8-1 Intern & Student Housing B&B,Bayamon,Shared room,362,520
26954876,Room in Beautiful  Home - Metro + Free Parking,Ceiba,Private room,80,545
26955762,#8-2 Intern & Student Housing B&B,Ponce,Shared room,364,1246
26956067,"The RW Quiet City Retreat, 1 bedrm Suite (Private)",Toa alta,Entire home/apt,347,225
26956333,#8-3 Intern & Student Housing,Bayamon,Shared room,292,1180
26978483,Light-filled  modern w/ parking,Rio Grande,Entire home/apt,12,546
26995160,Cozy studio in Brightwood/,Farjardo,Entire home/apt,52,2500
26997272,Cozy  Apartment 15 min Walk to Convention Cntr,Isabela,Entire home/apt,0,651
26998386,2 BR House in  -  steps from Metro,Bayamon,Entire home/apt,39,1201
27021564,/perfect Apartment (2 Cats in the home),Mayaguez,Entire home/apt,0,560
27029778,Private bedroom within a 10 minute walk to metro,Aguadilla,Private room,0,550
27031979,Lovely space in Beautiful,Farjardo,Private room,0,550
27059660,Large Apartment in our NW  home w/ Pvt Entrance.,Aguadilla,Entire home/apt,49,550
27137715,Private Suite in Classic  Row House,Isabela,Entire home/apt,36,550
27139008,Anna's Place Studio Apartment in,Aguadilla,Entire home/apt,55,550
27148863,Explore  from this Stylish English Basement Apt.,Guaynabo,Entire home/apt,39,550
27171117,"Beautiful, Modern Ground Floor Apartment",Ponce,Entire home/apt,1,550
27190473,Spacious Two Bedroom With Amazing Deck View,San Lorenzo,Entire home/apt,91,550
27190553,Steps to Beachfront 2BR Historic Townhouse Apartment,Bayamon,Entire home/apt,96,550
27199803,"Stylish, Hotel-Quality Room with Private Access",Farjardo,Private room,0,550
27204453,Home Away From Home In One Of 's Prime Locations,Vega Baja,Entire home/apt,0,550
27205325,New Home  in the❤️of Bloomingdale,Isabela,Entire home/apt,62,550
27215574,Spacious Cozy Private Basement,Corozal,Private room,0,550
27220012,"1800 sf.ft  historic raw house, perfect",Dorado,Entire home/apt,111,860
27226405,Cozy one bedroom basement suite in  modern,Aguadilla,Entire home/apt,0,860
27230482,Studio near grocery store + Metro,Mayaguez,Entire home/apt,0,200
27253703,Cozy and spacious 1 bedroom apt-hotspot,Mayaguez,Entire home/apt,0,400
27261590,Peggy's Place'  Home w/ Deck: Near Downtown!,Isabela,Entire home/apt,298,850
27263226," Circle warm, spacious 1 bedroom",Mayaguez,Entire home/apt,0,850
27309215,"Cherry Blossom BR, only 3 blocks to DT! Island/",Dorado,Private room,264,400
27344873,Bedroom #2 in Private 2 bedroom Apartment,Corozal,Private room,206,750
27345174,Bedroom #1 in Private 2 bedroom Apartment,Corozal,Private room,209,750
27356215,"Modern, Convenient Apartment with View",Guaynabo,Entire home/apt,0,750
27372418,Ale’s private basement apartment w/kitchen in,Loiza,Entire home/apt,138,750
27388970,Island Townhouse,Vega Baja,Entire home/apt,0,750
27400526,Perfect Home on Amazing Block,Fajardo,Entire home/apt,38,750
27416204,The Gray Corner House Byt 3 BR,Trujillo Alto,Entire home/apt,244,750
27462354,Pet Friendly 1 Bed   Apt with Laundry,Aguadilla,Entire home/apt,256,750
27466057,HOUSE GREAT FOR STUDENTS &  VISITORS,Ponce,Entire home/apt,126,750
27491163,Puertorican/ Remodeled Near Everything,Mayaguez,Entire home/apt,0,750
27494657,☆Renovated hotspot   English basement Unit☆,Trujillo Alto,Entire home/apt,22,750
27516283,Historic Alley House in,Bayamon,Entire home/apt,0,750
27518177,En Suite Petite❤Apartment Feel for Room Price!,Rio Grande,Private room,256,750
27543541,Walk to the Beach,Rio Grande,Entire home/apt,0,750
27546981,Apartment near Beach w/ parking + laundry,Rio Grande,Entire home/apt,51,750
27548833,"2-Welcome Intern, Medical Student, Traveling Nurse",Rio Grande,Private room,66,750
27566914,Historic perfect Apartment,Fajardo,Entire home/apt,163,750
27570172,quite cosy basement,Farjardo,Entire home/apt,357,750
27573552,"Big, Modern  Apt (+ Family Amenities)",Rio Grande,Entire home/apt,0,750
27579183,"⭐ Sunny, modern & elegant in  Prime Location ⭐",Cabo Rojo,Entire home/apt,7,750
27629790,"Bright, spacious apartment- 1 block from reet!",Trujillo Alto,Entire home/apt,0,750
27631877,English basement; heart of ; 3 beds,Ponce,Entire home/apt,0,750
27673532,Beautiful 3BR home in the center of everything.,Cabo Rojo,Entire home/apt,0,750
27697568,Private room and bathroom - convenient to cua & DT,Rincon,Private room,0,750
27701276,Upscale  apartment,Anasco,Entire home/apt,0,750
27704857,The  Carriage House,Bayamon,Entire home/apt,68,750
27705648,New  basement studio (walk to metro),Bayamon,Entire home/apt,25,750
27719222,Serenity,Rio Grande,Private room,78,750
27723741,Getaway,Ponce,Entire home/apt,147,750
27725608,A - hotspot/Bloomingdale Row House (A - King),Isabela,Private room,3,750
27727526,Suite One on 'S' Southeast,Corozal,Entire home/apt,0,750
27727699,Welcome 2  the Summit,Trujillo Alto,Private room,0,750
27752955,Home with a View,Mayaguez,Entire home/apt,0,750
27757068,Luxury 1BR in ’s best location w/ free parking,Mayaguez,Entire home/apt,289,750
27771577,"Puertorican ,  townhouse 5",Humacao,Private room,157,3600
27775041,All Bunked Up! New bathroom & washer/dryer!,Toa Baja,Private room,313,850
27782885,Modern English basement apt near  Corridor,Trujillo Alto,Entire home/apt,92,700
27812605,★STAYBNB★Patio★Circle★PetsOK★FASTwifi★Roku,Mayaguez,Entire home/apt,69,700
27812793,★STAYBNB★𓃡PetsOK𓃠★ Circle★Roku★FAST WiFi,Humacao,Entire home/apt,96,700
27813807,Charming  Circle Rowhome,Mayaguez,Entire home/apt,68,460
27829146,Unique Housing Option - Former Auto Body Shop - Parking At Front Door - Great Walkable Location - Blazing Fast Internet,Rio Grande,Entire home/apt,0,460
27919246,Retreat in the city! 3-levels with a rooftop deck!,Guaynabo,Entire home/apt,47,460
27930601,Historical,Rio Grande,Entire home/apt,0,460
27932589,One Bdrm Luxury Condo in Vibrant  Neighborhood,Guaynabo,Entire home/apt,362,370
27937041,Hip  Condo steps away from Puertorican / Meridian Park,Guaynabo,Entire home/apt,220,460
27960316,Studio in the best location of,Mayaguez,Entire home/apt,16,460
27961592,Spacious Grand 3br/3bth with Patio by Trendy Puertorican,Fajardo,Entire home/apt,29,460
27962382,2 Bedroom*5minute walk to Metro*Parking*Central,Guaynabo,Entire home/apt,56,370
27989967,hotspot  Monuments,Vega Baja,Entire home/apt,0,400
27991634,hotspot  convenience,Guaynabo,Entire home/apt,185,1400
28011711,nice - Private Room #1,Rio Grande,Private room,0,1400
28028316,House,Rio Grande,Entire home/apt,0,600
28029963,PRO CLEANED! Colonial Glamour on ! nice,Bayamon,Entire home/apt,10,600
28030381,nice - Room Divider Space,Rio Grande,Shared room,0,600
28034997,Solar powered townhouse for rent,Mayaguez,Entire home/apt,0,600
28045560,2BR Garden Apt Near Hipster Restaurant Row,Guaynabo,Entire home/apt,0,600
28057069,Wonderful Apartment -,Fajardo,Entire home/apt,0,600
28077493,PRIVATE ROOM/BATH IN BASEMENT OF AMAZING modern,Mayaguez,Private room,0,600
28086005,"Harlem on 46th. Cozy, living space & private entry",Morovis,Private room,88,600
28096204,brand new 1 bedroom private bath quiet,Jayuya,Private room,0,600
54038518,CONFORTABLE BEDROOM 2 IN THE LUXURY HOUSE,Utuado,Private room,363,600
31531466,"Cozy, private spacious in-law suite with parking",Salinas,Entire home/apt,111,600
37542324,One bedroom in downtown   near,San Juan,Private room,59,462
2310297,Budget Private Bedroom near Public Transportation,Rincon,Private room,323,330
54038757,CONFORTABLE BEDROOM 4 IN LUXURY HOUSE,Utuado,Private room,352,385
53268246,"35 p/day  walking to metro,close to grocery store ",Barranquitas,Private room,365,385
50781398,2 BR Suite in Spacious Home,Trujillo Alto,Private room,7,385
12864169,"Great View of sand 1 blk to Beachfront, Fantastic Neighborhood, Beautiful Space, Literally Can't Get Any Closer to Beachfront and District.  Veteran owned small business.  Excellent location.",Bayamon,Entire home/apt,346,2250
28105684,VIDI,San Lorenzo,Entire home/apt,0,2250
28109182,Cozy Apt in Historic  modern,Humacao,Entire home/apt,127,2750
28125608,Beautiful 1 bedroom apartment @ heart of,Dorado,Entire home/apt,0,2250
28126400,Stylish & Modern Apartment in Historic Neighborhood,Isabela,Entire home/apt,22,2250
28134094,The Bee Hive,Ponce,Private room,0,2250
28137320,Loft,Guaynabo,Entire home/apt,335,2250
28139783,Ivy Suite is a beautiful new construction row home,Trujillo Alto,Entire home/apt,364,2250
28154722,Row home - private apt by Rock Creek,Aguadilla,Entire home/apt,125,2250
28160365,Sunny private place with awesome location,Guaynabo,Entire home/apt,0,2250
28160590,Peaceful Retreat in  modern,Canovanas,Private room,0,2250
28176850,Private Apartment w/Kitchen & Bathroom,Aguadilla,Private room,0,2250
28180978,Great Location.Spacious.Newly Renovated.2x Parking,Aguadilla,Entire home/apt,121,2250
28184353,Spacious & Bright Northeast  Basement Suite,Toa alta,Entire home/apt,23,2250
28205073,Crestwood Manor 1BR 1BA Private Apt Park Sleeps 4,Aguadilla,Entire home/apt,0,2250
28219027,"New, beautiful one-bedroom garden apartment",Isabela,Entire home/apt,46,2250
28219170,"English Basement with laundry, walk to metro",Aguadilla,Entire home/apt,0,2250
28227027,★Modern 2 BR Condo 5 min to Metro 1 Stop to Puertorican.★,Guaynabo,Entire home/apt,200,2250
28228016,Barracks Row Studio Apartment,Bayamon,Entire home/apt,130,2250
28242044,"Cozy rooms for interns, students & professionals",Guaynabo,Private room,140,2250
28246200,Sunny  2nd Floor Condo with Balcony,Rio Grande,Entire home/apt,0,2250
28253557,One Bedroom Retreat,Humacao,Entire home/apt,162,2250
28256572,Stay Attache in  Circle,Humacao,Entire home/apt,0,2250
28257191,GREAT NEW 2 BR/5 STAR  LOCATION/Hottest N'd/P'king,Mayaguez,Entire home/apt,155,2250
28273187,1 Bedroom Apartment in nice,Rio Grande,Entire home/apt,140,2250
28275289,Charming  Apartment -  Private Entrance,Ponce,Entire home/apt,17,2250
28282457,PRO-CLEAN near UnionStation &  Shops/PARK FREE,Rio Grande,Entire home/apt,326,2250
28316665,The Red Sunset( Female Only),Guaynabo,Private room,360,2250
28336119,"1 Cozy apartment, close to everything",Rio Grande,Entire home/apt,218,2250
28387345,Barracks Row Townhouse,Bayamon,Entire home/apt,75,2250
28388103,Single family home,Morovis,Private room,0,2250
28403842,Comfy-New Renovated Lower Level near,Caguas,Entire home/apt,46,2250
28429419,"Queen Bed EnSuite, free parking private bath WiFi",Corozal,Private room,130,2250
28434873,The Sunflower Room (Female Only),Dorado,Private room,163,2250
28435119,Large Beautifully Maintained Furnished Palisades Home,Quebradillas,Entire home/apt,225,2250
28458316,Master Bedroom in historic  minutes from Beachfront,Isabela,Private room,0,2250
28458923,Large private bedroom in,Dorado,Private room,0,2250
28480971,hotspot Guest Suite,Cidra,Private room,0,2250
28481426,Milton's Place,Guaynabo,Private room,88,2250
28484136,Beautiful in Bloomingdale with Parking,Isabela,Entire home/apt,18,2250
28493426,Very Nice Modern 2 Bedroom Apt with Outdoor Patio,Morovis,Entire home/apt,306,2250
28494518,Clean and fresh Basement Apartment,Trujillo Alto,Entire home/apt,273,385
28500848,Private Bedroom#3 @123 in  Trendy Bloomingdale,Isabela,Private room,35,385
28522288,Private Bed+Bath near Convention Center,Isabela,Private room,0,385
28523443,Comfortable Studio - Near To  Circle!,Mayaguez,Entire home/apt,0,385
28531929,"nice perfect 1BR w/ Gym, walk to metro by Blueground",Fajardo,Entire home/apt,0,385
28539640,hotspot  Convention center area apt Room#4,Dorado,Private room,242,385
28544907,En Suite Grande💎Perfect for Work & Long Stays,Rio Grande,Private room,205,2250
28548799,hotspot  convention centre area apt Room#6,Dorado,Private room,254,2250
28552105,hotspot  Convention center apt Room#3,Dorado,Private room,355,2750
28558280,hotspot  convention area apt Room #2,Dorado,Private room,293,2250
5.7e+17,CONFORTABLE BEDROOM 9 IN THE LUXURY HOUSE,Utuado,Private room,365,2250
54038804,CONFORTABLE BEDROOM 5 IN THE LUXURY HOUSE,Utuado,Private room,364,2250
8923110,Downtown,San Juan,Private room,363,500
5.57e+17,Cozy privet Room near Metro 5,Morovis,Private room,21,600
28559291,hotspot  Convention center Area APT Room#5,Dorado,Private room,344,600
28563385,Private studio  Circle only 1 block to metro,Mayaguez,Entire home/apt,229,600
28564940,Modern/Clean Apt - UPR Park/,Salinas,Entire home/apt,21,600
28566522,hotspot  Convention center area apt Room#7,Dorado,Private room,334,600
28567329,hotspot  Convention center Area APT ROOM#9,Dorado,Private room,335,1600
28580560,Cozy  Studio Apartment to Call Home!,Mayaguez,Entire home/apt,11,1048
28581396,Cozy and quiet 2bedrooms town house in,Ponce,Entire home/apt,0,600
28584255,Cozy townhouse in  (Room A),Ponce,Private room,0,600
28584343,Cozy townhouse in  (Room B),Ponce,Private room,0,600
28606289,Luxury Suite in the Heart of,Bayamon,Entire home/apt,228,600
28646312,The Frosted Castle At West End,Mayaguez,Entire home/apt,263,600
28668627,1 Bedroom Condo in  Circle,Mayaguez,Entire home/apt,309,600
28674028,80% Private Luxury Space. Rooftop Views. Pool.,Ponce,Private room,269,600
28679737,"Penn Qtr 1BR w/ Great Views + Gym, near Metro by Blueground",Cabo Rojo,Entire home/apt,287,600
28689800,"Sunny, Spacious Family Home 2 Blocks from Metro",Bayamon,Entire home/apt,0,656
28692012,Charming Room in Fabulous Neighborhood,Guaynabo,Private room,291,600
28699771,Private Bedroom 1 Block from,Rio Grande,Private room,0,600
28717282,Charming hotspot  Garden Suite,Trujillo Alto,Entire home/apt,0,600
28737073,Family-Friendly Elegant  Guest Suite,Rio Grande,Entire home/apt,56,656
28738052,Retro Chic 2BR - 3 Queen Beds,Mayaguez,Entire home/apt,106,656
28757369,Sunny loft-like shared apartment in,Humacao,Private room,37,656
28764474,Private Bedroom and Bathroom,Jayuya,Private room,0,656
28776973,Luxury 1 BR near reet w/ patio,Rio Grande,Entire home/apt,0,656
28778293,Private One-Bedroom in  201,Vega Baja,Entire home/apt,0,656
28786256,"Subletting snug, cozy little bedroom for October!",Guaynabo,Private room,0,656
28786757,Private entrance to  Gem!,Rio Grande,Private room,39,656
28806419,"Modern, artsy, top floor condo near  attractions",Rio Grande,Entire home/apt,0,600
28836027,3BR Place in hotspot,Dorado,Entire home/apt,0,656
28838584,Giant 3 Bedroom/4Bathroom Basement Condo- HighEnd,Guaynabo,Entire home/apt,163,604
28843652,Apartment,Aguadilla,Entire home/apt,0,604
28863314,Pro Cleaned Mid Century Hollywood Glam in Redbrick Row Home.,Dorado,Entire home/apt,159,600
28865346,Cute + Cozy 1 bedroom -Near Puertorican & CoHeight metro!,Guaynabo,Entire home/apt,332,604
28867063,Biltmore  luxury in Kalorama Ex-Large apartment,Humacao,Entire home/apt,293,604
28869341,"Beautiful private space, an office & outdoor patio",Rio Grande,Entire home/apt,0,604
28895568,The Jacqueline,Bayamon,Entire home/apt,9,604
28897052,"Hosted by Rajaa
This is newly remodeled basement",Morovis,Private room,130,656
28914680,Charming  Circle Studio Oasis,Mayaguez,Entire home/apt,0,656
28918619,The Beachfront Choice on the beach!!,Bayamon,Entire home/apt,11,656
28928881,Cute Modern 1BR Smoke-free Apartment (No Parking),Isabela,Entire home/apt,121,656
28960863,PRO CLEANED! Sunny in  - 2MIN from metro!,Dorado,Entire home/apt,104,600
28984713,"A Cozy apartment, easy access to everything",Rio Grande,Entire home/apt,257,656
28985370,Chic One Bedroom in  / perfect,Dorado,Entire home/apt,0,656
28989507,little house,Mayaguez,Entire home/apt,0,656
29002608,1BR apt in 's stunning and historic,Rio Grande,Entire home/apt,79,656
29014671,Bloomingdale Beauty,Isabela,Entire home/apt,45,600
29067075,Atlas House HUGE Private Basement,Rio Grande,Private room,0,600
29074698,STUNNING  Apt Steps from,Cabo Rojo,Entire home/apt,5,600
29078153,Comfy 1BR in Spacious Admo Grouphouse! (Zoo/Metro),San Lorenzo,Private room,88,600
29081447,Tranquil City Suite,Isabela,Private room,174,600
29082182,hotspot Suite #3,Cidra,Private room,86,1150
29082809,Home on the beach - Private Apartment,Rio Grande,Entire home/apt,20,1150
29102755,"yoPuertoricanay while I'm away!  bed, bath, kitchen",Aguadilla,Entire home/apt,0,1150
29122757,"Spacious, Private,  Carriage House",Bayamon,Entire home/apt,34,1150
29128073,"Sunny, Private,  Studio Loft Apartment",Rio Grande,Entire home/apt,39,1150
29151289,Gorgeous 1BR apt//Eastern Market,Bayamon,Entire home/apt,310,1150
29162686,"The RW, a Quiet 2 Bedroom Suite (Private)",Toa alta,Entire home/apt,339,1150
29181009,"AU Park, Sunny and Quiet",Salinas,Entire home/apt,143,1150
29183117,Superbly furnished one bedroom apt downtown.,Cabo Rojo,Entire home/apt,179,1150
29189874,"New, Cozy and Modern Apartment",Farjardo,Entire home/apt,0,1150
29206059,Beautiful Large 1 Bdrm blocks from 14treet,Dorado,Entire home/apt,5,1150
29216006,Cozy privet room,Morovis,Private room,85,1150
29232359,Gorgeous studio with a view in vibrant area,Aguadilla,Entire home/apt,163,1150
29236747,Large 2 bdrm in the heart of !,Guaynabo,Entire home/apt,0,1180
29254496,✻ PERFECT PLACE TO EXPLORE  | ParkPark • Eastern Market ✻,Bayamon,Entire home/apt,77,655
29259414,// HIP AREA \\ WALK TO UNION MARKET // PARKING,Rio Grande,Entire home/apt,128,655
29279914,Overlook,Humacao,Entire home/apt,0,655
29280642,Sunlit room with a Casper bed!,Corozal,Private room,0,655
29285817,Pillowtop Dreams in Coziest Room  has to offer!,Corozal,Private room,0,650
29307373,Inviting 3-Lvl  Townhome ✓Walk to METRO Station & Union Market  ✓reet ✓nice ✓,Trujillo Alto,Entire home/apt,115,655
29313314,CozyCanna Inn ( CANNA MEDITATION ALL INCLUSIVE),Corozal,Private room,365,655
29315833,Cozy Basement Unit,Utuado,Private room,46,655
29339623,Retreat to a stylish/modern Flat Close to Beachfront,Corozal,Entire home/apt,0,655
29356573,Apartment on Beautiful Tree-Lined Street Near Metro,Dorado,Entire home/apt,1,655
29364369,Private Bedrm#1 in Trendy Bloomingdale,Isabela,Private room,57,650
29368718,"*The Seaton Suite* - Bright, Renovated 1BR, W/D",Isabela,Entire home/apt,0,650
29394566,"Hidden Gem@, 2 Blocks to Metro",Bayamon,Entire home/apt,164,655
29440556,Good Vibes Luxury Queen,Barranquitas,Private room,81,650
29458183,The Gray House By Gallaudet 4 BR,Trujillo Alto,Entire home/apt,208,655
29483761,Modern apartment w/easy access to city. No smoking,Caguas,Entire home/apt,200,655
29487241,Perfect  Location! You'll Never Want to Leave.,Rio Grande,Private room,298,675
29487264,Apartment near DOWNTOWN in Historic Neighborhood,Isabela,Entire home/apt,229,650
29515602,Modern private basement,Rincon,Entire home/apt,129,675
29517587,1 Bedroom near  Metro,Guaynabo,Entire home/apt,0,675
29518918,Lovely 2br/2b apartment in  Circle,Mayaguez,Entire home/apt,0,650
29547128,Private Two Bedroom Basement Unit,Utuado,Entire home/apt,1,675
29575909,"2BR, 5min Walk to Metro, Cheap Parking in Apt",San Lorenzo,Entire home/apt,0,675
29594500,Sunny and Lofty Townhouse,Rio Grande,Entire home/apt,154,655
29629930,PRO CLEANED! Contemporary Mid Century Apt in !,Fajardo,Entire home/apt,100,1180
29652760,Georgia apartment,Aguadilla,Entire home/apt,0,1180
29673231,UPSCALE STAY NEAR  METRO!,Cidra,Entire home/apt,283,1180
29696250,perfect-grocery store-Le Diplomat-Whole Foods,Dorado,Entire home/apt,0,675
29701036,Spacious & modern apt. near metro w/ free parking,Rincon,Entire home/apt,104,675
29705539,Finest of,Guaynabo,Entire home/apt,81,675
29716051,Modern condo 10 mins from central  in,Aguadilla,Private room,0,675
29730963,"House in  Close to Metro and , CUA",Rincon,Private room,0,650
29739564,Quiet modern apartment in historic neighborhood,Isabela,Entire home/apt,153,1150
29756696,Contemporary Stay in Historic -Private BR & Bath,Hatillo,Private room,0,1150
29758904,Young Professional,Utuado,Private room,0,1150
29771907,Newly renovated FULL 1 BR APT in,Guaynabo,Entire home/apt,136,1150
29775784,Cozy  Studio with garden,Mayaguez,Entire home/apt,293,1150
29802594,Renovated row home guest suite :),Isabela,Entire home/apt,251,1150
29804690,Cozy 2 BR/1.5 Bath  home,Guaynabo,Entire home/apt,0,1150
29825417,The Castle on 22nd,Cidra,Entire home/apt,52,600
29832482,Large Comfortable Studio - Close to Downtown,Guaynabo,Entire home/apt,16,600
